Time (minutes),Cumulative Cost
724,514159.19902177004
725,514638.65862479457
726,515132.6573161571
727,515634.03831840015
728,516121.5294117985
729,516639.13066045585
730,517180.28024956916
731,517734.54059528443
732,518318.6532545822
733,518900.0707384822
734,519480.6545936812
735,520049.320833296
736,520619.3404158676
737,521182.74472015013
738,521769.04714761523
739,522357.3212784159
740,522936.587537462
741,523537.6181543114
742,524145.4448515211
743,524733.4034705937
744,525324.2229170351
745,525891.3934924405
746,526445.7722691721
747,527036.2090820058
748,527609.3385030224
749,528200.3749674184
750,528765.5660631128
751,529309.2742990808
752,529879.8558172504
753,530430.0213235194
754,530980.1235757497
755,531545.7739955832
756,532128.8240295056
757,532709.5814117435
758,533293.233591269
759,533867.9808656777
760,534404.4790660893
761,534963.2356662682
762,535527.313668366
763,536087.2214218698
764,536635.200300591
765,537229.851806312
766,537827.4039671923
767,538417.0156071552
768,539007.0521274074
769,539592.6598040817
770,540192.8042458991
771,540749.774790287
772,541332.0103835074
773,541921.0177640454
774,542492.9280869968
775,543088.2139029278
776,543678.0843709494
777,544274.8182442918
778,544861.0772484302
779,545424.6558952213
780,545956.7814413697
781,546515.6532751333
782,547082.7747087295
783,547646.1901007257
784,548223.3396062646
785,548797.5520890149
786,549370.5942803697
787,549946.8432859674
788,550526.2448664486
789,551099.578128654
790,551694.9014806568
791,552222.9686063979
792,552719.7598824911
793,553256.603530525
794,553786.0321780093
795,554305.9526017541
796,554810.4623613722
797,555328.79997789
798,555857.0709420434
799,556351.9522142446
800,556859.3727521556
801,557392.0801427255
802,557897.4128020433
803,558417.6446131212
804,558911.4726986226
805,559451.6083903095
806,559975.5889501311
807,560493.4164436017
808,561016.7391160404
809,561503.5715797907
810,562000.51258662
811,562506.4226968742
812,563007.8205617663
813,563540.0253431587
814,564087.4451982582
815,564658.5002509123
816,565236.9095113633
817,565784.8019724282
818,566325.8284634413
819,566872.583583079
820,567443.3479588968
821,568002.0223591984
822,568495.5047195444
823,569011.2842875028
824,569547.9728524678
825,570075.6406376887
826,570616.0651397557
827,571126.7552380713
828,571628.8802373293
829,572116.104452013
830,572619.5142924829
831,573124.64170765
832,573641.1877659207
833,574130.373165957
834,574633.3930746998
835,575137.4346687446
836,575684.5619617229
837,576255.6694357195
838,576798.2228829507
839,577377.3325985958
840,577929.0489320627
841,578497.8559353449
842,579066.3499024401
843,579616.2315909644
844,580181.5822209918
845,580761.4957520027
846,581318.0861179079
847,581906.3105974531
848,582451.246410137
849,583030.2251161783
850,583579.7788430228
851,584130.125859142
852,584697.2363774912
853,585231.4282794668
854,585847.8724260618
855,586401.6647774724
856,586940.1957281441
857,587525.4863965717
858,588110.7256284949
859,588655.3155031202
860,589249.8866839192
861,589812.6098997385
862,590389.4952483851
863,590932.7694766015
864,591484.1337663317
865,592029.1921211077
866,592574.2646438425
867,593123.689516366
868,593676.8146779466
869,594229.7863767926
870,594791.4076502179
871,595348.0378933492
872,595939.6587942833
873,596512.4118272845
874,597085.2706466265
875,597666.2358062284
876,598237.6415909993
877,598841.1767527102
878,599416.9616078094
879,599963.12804252
880,600558.7784601715
881,601136.7788494498
882,601713.5037524564
883,602272.5440858181
884,602824.0901285673
885,603384.6078757285
886,603954.9381672022
887,604523.2479958195
888,605090.7569500098
889,605642.2845549379
890,606189.449809474
891,606752.5748376393
892,607312.784278696
893,607853.4254356828
894,608406.7270034383
895,608973.8608041122
896,609536.8828779184
897,610135.6035167028
898,610734.1175964428
899,611282.0713127631
900,611872.3919818505
901,612468.6449371717
902,613024.6217725126
903,613692.0727562939
904,614317.5793879458
905,615003.5711281933
906,615676.0637134606
907,616284.3769758717
908,616978.941014673
909,617619.946792038
910,618286.4596420219
911,618947.8223017758
912,619569.0502174251
913,620238.9599340891
914,620878.2782286692
915,621528.3852968941
916,622165.2384729641
917,622792.0183366376
918,623477.5513643117
919,624135.9749911354
920,624745.5577991236
921,625377.629227419
922,626022.9448997
923,626587.2851154623
924,627157.5978581383
925,627720.0349297802
926,628271.6923352116
927,628854.338289266
928,629405.9366358784
929,629896.2074712726
930,630407.5454239895
931,630901.3983970257
932,631400.7049402551
933,631924.2003049791
934,632444.7881573084
935,632954.9459794984
936,633488.4622002124
937,633992.699988475
938,634506.689060864
939,635036.4093093912
940,635554.5127653892
941,636045.8048042881
942,636526.4755677732
943,637051.3869235675
944,637579.5404248744
945,638105.6537592644
946,638602.4728544959
947,639100.0956895297
948,639617.2384929043
949,640153.2002245975
950,640675.4296795243
951,641195.5628779763
952,641700.2470363849
953,642278.3819108641
954,642842.3904114112
955,643451.434244585
956,644082.8299291168
957,644710.2820470602
958,645333.5754886452
959,645925.4245844918
960,646512.3601380305
961,647076.653652426
962,647598.1406011776
963,648194.6634882865
964,648796.2739184398
965,649376.1311053798
966,649930.9370197946
967,650524.1532664725
968,651118.1146471555
969,651720.1022658559
970,652287.1704438059
971,652844.5038813438
972,653412.2599112291
973,653977.9985339526
974,654546.4190828212
975,655143.1081570206
976,655773.598337452
977,656332.2341764262
978,656930.0184210573
979,657519.5110366285
980,658099.7529853635
981,658712.3096838236
982,659328.7475327349
983,659950.657952232
984,660541.2755338991
985,661126.555430976
986,661724.1339229491
987,662322.7780313771
988,662910.207271735
989,663498.8883212637
990,664069.9311467601
991,664650.8543162396
992,665221.5888847027
993,665799.9664951962
994,666356.9925087589
995,666953.6594671509
996,667518.8072226492
997,668102.83052399
998,668687.3194264347
999,669175.7477551289
1000,669664.6818344299
1001,670162.7764880168
1002,670656.5248810922
1003,671162.2299770657
1004,671656.7268649347
1005,672184.8604907341
1006,672685.4867239583
1007,673182.8926668277
1008,673687.3892503964
1009,674178.8552166955
1010,674671.868981657
1011,675179.104042999
1012,675705.7766324886
1013,676218.1840467221
1014,676710.3476780475
1015,677199.162160306
1016,677723.0361873625
1017,678259.183052776
1018,678816.4389198767
1019,679371.9174002593
1020,679937.1152447993
1021,680516.6686580234
1022,681092.6922243853
1023,681658.4850395792
1024,682184.3488897276
1025,682719.0143798321
1026,683276.1006511415
1027,683803.3242443185
1028,684370.7528770355
1029,684930.1441035096
1030,685486.4278382611
1031,686073.700422395
1032,686610.2958310979
1033,687155.6407502284
1034,687701.9497187883
1035,688270.911060675
1036,688792.8315463001
1037,689376.5044947305
1038,689921.2349048549
1039,690497.2656762581
1040,691076.3301706709
1041,691643.0050246578
1042,692234.381960723
1043,692796.9725796613
1044,693348.8669646293
1045,693880.290520826
1046,694430.4774464224
1047,694980.7094989645
1048,695579.2700724453
1049,696136.6551796867
1050,696706.6433339338
1051,697279.9431516877
1052,697865.3351855882
1053,698432.1676020438
1054,699000.5063676251
1055,699569.4082140318
1056,700159.1515951718
1057,700734.4023277727
1058,701269.9872237007
1059,701839.1478069902
1060,702390.9148592787
1061,702943.8994806734
1062,703505.1066365349
1063,704068.9737237449
1064,704653.9537674472
1065,705208.4404393547
1066,705760.8613896521
1067,706362.2628721003
1068,706898.7508178285
1069,707467.967386402
1070,708002.141673329
1071,708513.206161191
1072,709038.1493642807
1073,709532.6112241418
1074,710057.0441549825
1075,710589.1382973521
1076,711123.4558216403
1077,711611.1108760324
1078,712090.0463670162
1079,712590.0164968027
1080,713084.7872566062
1081,713598.5589533282
1082,714079.7488334398
1083,714589.7414981121
1084,715078.3370151618
1085,715587.345688504
1086,716096.9636426861
1087,716626.9457767729
1088,717171.4140854162
1089,717731.6680642739
1090,718261.7128391507
1091,718785.0818225448
1092,719326.5902777541
1093,719827.3449660913
1094,720335.3517472058
1095,720842.9229866368
1096,721381.6001455231
1097,721914.8748798632
1098,722448.4869143292
1099,722998.8880760274
1100,723533.5257777802
1101,724064.5241116768
1102,724585.8892192115
1103,725106.6217979122
1104,725642.4192731284
1105,726176.8247918299
1106,726677.2629325796
1107,727174.271826364
1108,727716.5352630375
1109,728241.2245542719
1110,728757.8626225126
1111,729274.388447359
1112,729855.8207438673
1113,730394.7887163184
1114,730947.0507483432
1115,731518.4092948285
1116,732088.8466201366
1117,732681.4167492158
1118,733253.1079500237
1119,733848.3179822343
1120,734392.8566969071
1121,734935.7825136624
1122,735480.2179240988
1123,736048.414936617
1124,736639.6233060898
1125,737212.2929786722
1126,737771.9551098194
1127,738315.9357741852
1128,738885.992772427
1129,739450.686491507
1130,740087.3970813348
1131,740751.9502279301
1132,741402.0704778415
1133,742032.0451221102
1134,742699.5014506016
1135,743340.7628057634
1136,743964.183892625
1137,744628.4736413182
1138,745270.4326681197
1139,745942.525663186
1140,746659.894118118
1141,747315.4266768098
1142,747977.5122460942
1143,748607.1339428596
1144,753309.4821615906
1145,756458.8125555087
1146,760079.9610481496
1147,763846.6687646607
1148,767506.4264231175
1149,770841.462006619
1150,774155.2183875375
1151,778093.931320248
1152,782260.4130986112
1153,785750.1363653352
1154,789338.5142749043
1155,793154.9868600469
1156,797211.9282519947
1157,800530.3305273826
1158,803761.7957186083
1159,806964.6337068774
1160,810322.5205937908
1161,813781.2211130774
1162,817690.2171895623
1163,821224.6998268648
1164,824923.2658376526
1165,828211.6453588129
1166,831471.9494077269
1167,834659.558825124
1168,837688.8168825565
1169,841150.0745764925
1170,844821.7522056575
1171,845555.0152100788
1172,848001.5919426676
1173,848697.3380042124
1174,849410.4842559686
1175,850115.5496109586
1176,850858.5973272381
1177,851587.8998914318
1178,852276.6325249566
1179,854650.4914568462
1180,855259.3894414268
1181,855892.6832972019
1182,856526.4365189263
1183,857137.527651316
1184,857749.6303918012
1185,858376.861974599
1186,859029.1827058906
1187,859630.1546333435
1188,860226.3703045826
1189,860833.4664440642
1190,861395.4615573427
1191,861941.1326223616
1192,862487.6273429798
1193,863044.445139157
1194,863573.3440738227
1195,864123.7881749446
1196,864665.5058901468
1197,865191.6175152926
1198,865749.0507866535
1199,866297.5215147112
1200,866816.968373026
1201,867361.0254445287
1202,867882.0530507104
1203,868417.4462836644
1204,868977.96555329
1205,869485.9207475064
1206,870035.6802772735
1207,870581.5806944227
1208,871109.1924231225
1209,871625.2165897491
1210,872163.8536839786
1211,872701.9592889816
1212,873228.5935721996
1213,873790.2673674426
1214,874386.0909292784
1215,874997.3739119328
1216,875591.0046985358
1217,876186.1050820883
1218,876798.3914834303
1219,877399.5102286247
1220,878023.2920459433
1221,878611.7118630147
1222,879201.7895793703
1223,879777.3336284101
1224,880342.6129023468
1225,880908.0594095136
1226,881513.6546596992
1227,882107.6431111679
1228,882702.2820380816
1229,883283.2808210626
1230,883888.8796038218
1231,884463.265336056
1232,885060.8042767713
1233,885651.6350853598
1234,886263.0496250389
1235,886820.471216537
1236,887415.4938522383
1237,888024.0358839044
1238,888548.9638506238
1239,889105.1224411975
1240,889638.1368960658
1241,890146.0149376796
1242,890678.4565550787
1243,891208.2831051118
1244,891741.1201424208
1245,892287.3891799644
1246,892815.6094895918
1247,893357.9232841841
1248,893896.7174024507
1249,894446.8449773878
1250,894955.5632831858
1251,895492.3107131169
1252,896044.142900568
1253,896590.7898677591
1254,897143.7303350609
1255,897676.1502930503
1256,898186.9722287739
1257,898696.8291807101
1258,899241.9719257926
1259,899760.4816416117
1260,900260.6127709527
1261,900777.1146238188
1262,901309.5561078191
1263,901825.5728379065
1264,902335.9368401474
1265,902838.3365303886
1266,903369.012313522
1267,903901.9600504912
1268,904434.546576809
1269,904960.3813109149
1270,905469.2761673622
1271,906014.9463943201
1272,906535.1330694278
1273,907011.4311506365
1274,907529.2309986375
1275,908026.6279850677
1276,908526.4652738791
1277,909023.4378695531
1278,909524.4632479226
1279,910006.1060419478
1280,910500.6737193
1281,911008.0730256203
1282,911520.0462254706
1283,912006.0559196082
1284,912527.4500942291
1285,913020.5411286639
1286,913542.1378681636
1287,914016.9479657899
1288,914536.4503780492
1289,915051.1574773072
1290,915535.9686337096
1291,916028.1091414975
1292,916573.5730155718
1293,917107.9628338894
1294,917660.5895331086
1295,918204.6365222206
1296,918750.6269969142
1297,919290.904338832
1298,919822.6079314539
1299,920388.8740501454
1300,920961.6724203099
1301,921529.0682772751
1302,922048.4162373836
1303,922563.591208344
1304,923117.9234099115
1305,923676.7833285365
1306,924215.8927584846
1307,924764.4372078626
1308,925323.2804993005
1309,925865.6036574993
1310,926405.8172900995
1311,926965.4303240933
1312,927516.5345472828
1313,928065.9568071312
1314,928585.6564307517
1315,929146.5524781438
1316,929689.1718215182
1317,930218.355061208
1318,930730.6586698475
1319,931277.4662326826
1320,931834.948864947
1321,932360.6217449442
1322,932899.9077201751
1323,933426.9795593556
1324,933948.2054682195
1325,934489.2894590023
1326,935059.4568280223
1327,935610.6599731988
1328,936135.4169674565
1329,936685.9942020335
1330,937213.1504660507
1331,937723.1939321113
1332,938274.4568428312
1333,938807.4768096961
1334,939324.1167652415
1335,939863.656803513
1336,940397.7675000923
1337,940921.3746080907
1338,941391.2908599321
1339,941857.2108320036
1340,942366.6337889971
1341,942837.3747642952
1342,943345.3509609028
1343,943838.2260465192
1344,944339.806786386
1345,944830.9400037039
1346,945323.9439387625
1347,945813.4973850902
1348,946277.9421404491
1349,946776.8923397077
1350,947283.3592436858
1351,947773.6610296424
1352,948282.049935652
1353,948805.997217636
1354,949355.0169055092
1355,949902.3865182669
1356,950423.7924641322
1357,951009.2877640126
1358,951590.3275153652
1359,952170.7683214219
1360,952744.1270632292
1361,953328.202811032
1362,953899.2890158956
1363,954511.4067502448
1364,955068.8506122709
1365,955634.3865936683
1366,956234.9310947086
1367,956775.9115662917
1368,957345.9902059496
1369,957959.5678442636
1370,958528.3029615674
1371,959126.1225076851
1372,959740.699568536
1373,960326.6669229317
1374,960929.1426691858
1375,961528.6779058448
1376,962122.7807247151
1377,962723.9383877176
1378,963311.05029099
1379,963882.6378350513
1380,964513.4173838912
1381,965145.6681248591
1382,965764.6429456101
1383,966347.3562252509
1384,966981.5027824078
1385,967599.325734794
1386,968236.3886627555
1387,968859.309101256
1388,969580.7354292586
1389,972090.4122685143
1390,974631.033948921
1391,977018.249265195
1392,979402.0063882477
1393,981874.9559320095
1394,982559.1576903441
1395,985066.6894640998
1396,987592.2115095053
1397,990149.2503351541
1398,992526.6113560047
1399,993219.0573247069
1400,995737.124559068
1401,998246.4165277443
1402,1000735.2857133176
1403,1001431.736120353
1404,1004008.4075368979
1405,1006342.2580740217
1406,1007027.224004211
1407,1009380.9645117869
1408,1010085.6128545301
1409,1012704.7405873351
1410,1015132.7350385392
1411,1017714.9384056041
1412,1018394.6246747639
1413,1020893.966171082
1414,1023330.1173417412
1415,1025662.1008222434
1416,1026266.5229719155
1417,1026840.8760339762
1418,1027471.3900288093
1419,1028054.4799126353
1420,1028680.7709949232
1421,1029263.7872928964
1422,1029870.2979614696
1423,1030474.8513121159
1424,1031105.5631635888
1425,1031706.7017568271
1426,1032299.6605895187
1427,1032925.4776658505
1428,1033597.3894869726
1429,1034173.4932945096
1430,1034780.7905657762
1431,1035438.2778059029
1432,1036078.9781101856
1433,1036712.1674546694
1434,1037316.0443183794
1435,1037915.5351566423
1436,1038555.6074979644
1437,1039182.0681820032
1438,1039784.7323938076
1439,1040387.8731888992
